,Formative (20%),,,,,,,,,,Quizzes (30%),,,,,Assessments (50%),,,
Student Name,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Qz1,Qz2,Qz3,Qz4,Qz5,A1,A2,A3,A4
Alice Smith,97,97,91,100,97,96,92,92,94,90,98,94,96,94,90,92,90,94,90
Bob Johnson,90,94,93,92,94,91,99,93,92,100,99,98,93,100,96,95,94,100,90
Charlie Brown,96,92,96,99,94,92,95,95,98,92,97,93,98,90,93,92,90,92,100
David Lee,98,95,100,90,96,91,99,96,97,98,100,95,98,100,98,90,95,98,92
Emma Davis,94,97,92,98,91,91,92,93,95,99,100,91,96,93,98,96,100,90,90
Frank Miller,89,81,86,83,86,83,85,89,83,80,81,82,82,86,89,80,86,81,86
Grace Wilson,88,84,81,88,86,82,82,83,81,83,87,82,89,81,81,86,85,87,83
Henry Moore,85,86,87,80,86,88,87,88,82,82,89,87,81,83,80,89,82,84,87
Isabella Taylor,85,82,81,86,89,88,83,84,84,84,82,81,80,82,85,86,87,86,85
Jack Anderson,89,83,83,85,88,82,87,85,82,88,81,82,81,80,89,86,80,81,80
Kate Thomas,83,88,84,87,80,88,88,86,86,86,83,80,81,87,83,81,83,84,89
Liam Jackson,80,85,82,86,84,81,83,81,86,88,80,80,85,81,83,81,85,83,81
Mia White,87,87,86,87,81,86,88,84,88,86,82,83,89,81,85,83,80,82,84
Noah Harris,82,85,82,86,81,80,85,83,80,89,85,84,86,80,85,88,85,89,89
Olivia Martin,80,82,88,80,85,83,83,86,86,87,80,87,82,80,85,83,80,88,88
Peter Thompson,84,84,82,81,82,89,81,81,85,82,87,83,87,83,81,87,82,86,89
Quinn Garcia,88,87,84,84,80,83,85,80,83,87,84,84,88,82,81,89,85,83,84
Rachel Martinez,63,62,63,79,76,69,75,76,74,66,78,74,73,74,75,60,71,71,63
Samuel Robinson,72,71,77,72,63,65,67,64,71,72,67,69,64,75,79,77,79,62,76
Tara Clark,76,61,76,68,71,60,72,61,69,76,69,78,70,63,62,73,62,73,63
Ulysses Rodriguez,62,79,72,65,63,68,61,79,69,63,63,79,76,62,69,79,71,77,64
Victoria Lewis,76,77,68,68,76,67,62,78,65,72,70,74,73,63,63,60,74,67,74
William Walker,68,61,69,62,77,74,61,70,73,68,77,68,73,75,60,60,62,70,69
